"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","99","totale","2020","2020",474,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","99","totale","2021","2021",495,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","99","totale","2022","2022",472,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","99","totale","2023","2023",454,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","99","totale","2024","2024",480,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y4","4 anni","99","totale","2019","2019",794,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y4","4 anni","99","totale","2020","2020",710,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y4","4 anni","99","totale","2021","2021",755,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y4","4 anni","99","totale","2022","2022",749,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y4","4 anni","99","totale","2023","2023",739,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y4","4 anni","99","totale","2024","2024",649,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y4","4 anni","99","totale","2019","2019",472,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y4","4 anni","99","totale","2020","2020",530,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y4","4 anni","99","totale","2021","2021",481,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y4","4 anni","99","totale","2022","2022",506,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y4","4 anni","99","totale","2023","2023",470,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y4","4 anni","99","totale","2024","2024",458,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2019","2019",1626,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2020","2020",1502,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2021","2021",1570,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2022","2022",1526,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2023","2023",1490,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2024","2024",1395,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y4","4 anni","99","totale","2019","2019",515,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y4","4 anni","99","totale","2020","2020",516,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y4","4 anni","99","totale","2021","2021",510,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y4","4 anni","99","totale","2022","2022",508,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y4","4 anni","99","totale","2023","2023",486,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y4","4 anni","99","totale","2024","2024",457,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2019","2019",987,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2020","2020",1046,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2021","2021",991,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2022","2022",1014,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2023","2023",956,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2024","2024",915,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y4","4 anni","99","totale","2019","2019",832,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y4","4 anni","99","totale","2020","2020",792,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y4","4 anni","99","totale","2021","2021",815,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y4","4 anni","99","totale","2022","2022",777,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y4","4 anni","99","totale","2023","2023",751,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y4","4 anni","99","totale","2024","2024",746,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y5","5 anni","99","totale","2019","2019",547,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y5","5 anni","99","totale","2020","2020",525,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y5","5 anni","99","totale","2021","2021",518,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y5","5 anni","99","totale","2022","2022",512,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y5","5 anni","99","totale","2023","2023",512,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y5","5 anni","99","totale","2024","2024",499,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y5","5 anni","99","totale","2019","2019",743,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y5","5 anni","99","totale","2020","2020",797,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y5","5 anni","99","totale","2021","2021",739,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y5","5 anni","99","totale","2022","2022",751,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y5","5 anni","99","totale","2023","2023",757,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y5","5 anni","99","totale","2024","2024",739,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y5","5 anni","99","totale","2019","2019",461,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y5","5 anni","99","totale","2020","2020",474,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y5","5 anni","99","totale","2021","2021",539,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y5","5 anni","99","totale","2022","2022",481,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y5","5 anni","99","totale","2023","2023",515,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y5","5 anni","99","totale","2024","2024",475,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y5","5 anni","99","totale","2019","2019",834,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y5","5 anni","99","totale","2020","2020",829,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y5","5 anni","99","totale","2021","2021",815,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y5","5 anni","99","totale","2022","2022",805,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y5","5 anni","99","totale","2023","2023",789,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y5","5 anni","99","totale","2024","2024",767,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y5","5 anni","99","totale","2019","2019",1008,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y5","5 anni","99","totale","2020","2020",999,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y5","5 anni","99","totale","2021","2021",1057,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y5","5 anni","99","totale","2022","2022",993,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y5","5 anni","99","totale","2023","2023",1027,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y5","5 anni","99","totale","2024","2024",974,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y5","5 anni","99","totale","2019","2019",1577,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y5","5 anni","99","totale","2020","2020",1626,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y5","5 anni","99","totale","2021","2021",1554,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y5","5 anni","99","totale","2022","2022",1556,,
